Campaign Name,Recipient Email,Department,Send Time,Bounced,Unique Opens,Unique Clicks,First Open,Unsubscribed
cyber-aware-2026q1,cara.ahmed@example.com,Manufacturing,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,xenia.rossi@example.com,Marketing,12/01/2026 08:30,No,1,1,12/01/2026 12:32,No
cyber-aware-2026q1,ben.zhang@example.com,Operations,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,yusuf.hansen@example.com,HR,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,grace.jensen@example.com,Finance,12/01/2026 08:30,No,1,1,13/01/2026 04:33,No
cyber-aware-2026q1,wei.yilmaz@example.com,Operations,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,ben.zhang2@example.com,Manufacturing,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,hiro.patel@example.com,HR,12/01/2026 08:30,No,1,0,12/01/2026 13:27,No
cyber-aware-2026q1,farid.fischer@example.com,Marketing,12/01/2026 08:30,No,1,0,12/01/2026 10:03,No
cyber-aware-2026q1,wei.rossi@example.com,Manufacturing,12/01/2026 08:30,No,5,0,14/01/2026 13:08,No
cyber-aware-2026q1,quinn.okafor@example.com,HR,12/01/2026 08:30,No,3,0,12/01/2026 09:32,No
cyber-aware-2026q1,viktor.patel@example.com,Finance,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,elena.tanaka@example.com,Operations,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,ines.lopez@example.com,Technology,12/01/2026 08:30,No,1,0,13/01/2026 05:06,No
cyber-aware-2026q1,ben.jensen@example.com,Finance,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,maya.hansen@example.com,Technology,12/01/2026 08:30,No,5,0,12/01/2026 09:58,No
cyber-aware-2026q1,quinn.muller@example.com,Manufacturing,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,grace.lopez@example.com,Marketing,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,kira.ueda@example.com,Finance,12/01/2026 08:30,No,2,0,12/01/2026 10:28,No
cyber-aware-2026q1,elena.iyer@example.com,Technology,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,yusuf.kowalski@example.com,Operations,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,priya.ahmed@example.com,Sales,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,yusuf.iyer@example.com,Manufacturing,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,grace.hansen@example.com,Manufacturing,12/01/2026 08:30,No,1,0,12/01/2026 12:43,No
cyber-aware-2026q1,bruno.silva@example.com,Marketing,12/01/2026 08:30,No,2,0,13/01/2026 05:26,No
cyber-aware-2026q1,olu.chen@example.com,Manufacturing,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,wei.hansen@example.com,Marketing,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,aisha.novak@example.com,Technology,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,dmitri.vargas@example.com,Sales,12/01/2026 08:30,No,2,0,12/01/2026 09:30,No
cyber-aware-2026q1,ben.evans@example.com,Marketing,12/01/2026 08:30,No,2,2,12/01/2026 12:43,No
cyber-aware-2026q1,hiro.lopez@example.com,Legal,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,aisha.patel@example.com,Manufacturing,12/01/2026 08:30,No,2,0,12/01/2026 12:30,No
cyber-aware-2026q1,rosa.yilmaz@example.com,Sales,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,daniel.fischer@example.com,Finance,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,maya.zhang@example.com,Technology,12/01/2026 08:30,No,2,1,12/01/2026 10:28,No
cyber-aware-2026q1,grace.tanaka@example.com,Marketing,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,amara.walsh@example.com,Operations,12/01/2026 08:30,Yes,0,0,,No
cyber-aware-2026q1,wei.novak@example.com,Manufacturing,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,wei.yilmaz2@example.com,Manufacturing,12/01/2026 08:30,No,1,1,12/01/2026 12:58,No
cyber-aware-2026q1,grace.fischer@example.com,Marketing,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,ben.dubois@example.com,Manufacturing,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,wei.walsh@example.com,Marketing,12/01/2026 08:30,No,2,0,12/01/2026 10:26,No
cyber-aware-2026q1,olu.chen2@example.com,Finance,12/01/2026 08:30,No,1,1,12/01/2026 10:14,No
cyber-aware-2026q1,chloe.okafor@example.com,Sales,12/01/2026 08:30,No,1,0,12/01/2026 09:36,No
cyber-aware-2026q1,bruno.rossi@example.com,Operations,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,dmitri.lopez@example.com,HR,12/01/2026 08:30,No,1,1,12/01/2026 10:15,No
cyber-aware-2026q1,bruno.ueda@example.com,Technology,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,grace.tanaka2@example.com,Technology,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,ben.ahmed@example.com,Manufacturing,12/01/2026 08:30,No,1,0,12/01/2026 10:03,No
cyber-aware-2026q1,amara.walsh2@example.com,Technology,12/01/2026 08:30,No,1,1,12/01/2026 13:22,No
cyber-aware-2026q1,jonas.kowalski@example.com,Manufacturing,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,aisha.ahmed@example.com,Operations,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,viktor.patel2@example.com,Technology,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,yusuf.brown@example.com,Manufacturing,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,xenia.silva@example.com,Marketing,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,liam.ahmed@example.com,Manufacturing,12/01/2026 08:30,No,3,0,12/01/2026 09:43,No
cyber-aware-2026q1,zoe.hansen@example.com,Operations,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,rosa.chen@example.com,Manufacturing,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,viktor.yilmaz@example.com,Sales,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,grace.muller@example.com,Marketing,12/01/2026 08:30,No,3,0,12/01/2026 10:17,No
cyber-aware-2026q1,tariq.zhang@example.com,Marketing,12/01/2026 08:30,No,1,0,13/01/2026 05:01,No
cyber-aware-2026q1,kira.jensen@example.com,Operations,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,sam.silva@example.com,Legal,12/01/2026 08:30,No,1,0,12/01/2026 13:15,No
cyber-aware-2026q1,grace.walsh@example.com,Operations,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,olu.lopez@example.com,Technology,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,ben.muller@example.com,Manufacturing,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,noah.lopez@example.com,Operations,12/01/2026 08:30,No,2,1,14/01/2026 12:34,No
cyber-aware-2026q1,quinn.yilmaz@example.com,Technology,12/01/2026 08:30,No,2,1,13/01/2026 05:27,No
cyber-aware-2026q1,chloe.yilmaz@example.com,Technology,12/01/2026 08:30,No,3,0,12/01/2026 13:13,No
cyber-aware-2026q1,farid.muller@example.com,Sales,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,hiro.okafor@example.com,Sales,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,ben.walsh@example.com,Marketing,12/01/2026 08:30,No,1,0,13/01/2026 05:24,No
cyber-aware-2026q1,maya.fischer@example.com,Manufacturing,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,uma.jensen@example.com,Manufacturing,12/01/2026 08:30,No,0,0,,No
cyber-aware-2026q1,rosa.okafor@example.com,Marketing,12/01/2026 08:30,No,2,0,14/01/2026 12:52,No
cyber-aware-2026q1,aisha.rossi@example.com,Sales,12/01/2026 08:30,No,0,0,,No
